imgurl0,imgurl1,imgurl2,imgurl3,imgurl4,theme0,theme1,theme2,theme3,theme4,word0,word1,word2,word3,word4,theme00,theme01,theme02,theme03,theme04,theme05,theme06,theme07,theme08,theme09,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24,theme25,theme26,theme27,theme28,theme29,theme30,theme31,theme32,theme33,theme34,theme35,theme36,theme37,theme38,theme39,theme40,theme41,theme42,theme43,theme44,theme45,theme46,theme47,theme48,theme49
https://purvaten.github.io/doodles/D3/2/6.png,https://purvaten.github.io/doodles/D3/23/1.png,https://purvaten.github.io/doodles/D3/1/0.png,https://purvaten.github.io/doodles/D3/16/0.png,https://purvaten.github.io/doodles/D3/2/11.png,broke,zoo,"banking,finance,support","sports,competition",broke,future,tin,cat,church,phone,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",zoo,"dogs,animals","amusement,parks,movies","spring,animals","playful,cute,cuddly,animal","pets,babies,family","fish,mermaid,sailor","corpse,undertaker,vampire","countries,continents,natural","trump,gop,news","banking,finance,support",healthcare,gambling,"trump,gop,news","internet,information",automobile,"cross,bible,church,heart","secretary,boss",win,"sports,competition","sports,competition","soccer,worldcup,fifa",watersports,"books,academics,scholastics","bat,stadium,baseball,popcorn","brown,round,edges","vacation,beach,sunny","fish,mermaid,sailor","strong,power,brave,courageous","pollution,dirt,wastage",broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs"
https://purvaten.github.io/doodles/D3/2/5.png,https://purvaten.github.io/doodles/D3/2/8.png,https://purvaten.github.io/doodles/D3/23/0.png,https://purvaten.github.io/doodles/D3/17/0.png,https://purvaten.github.io/doodles/D3/14/4.png,broke,broke,zoo,"strong,power,brave,courageous","priest,nun,bishop",environment,hurricane,pie,book,trophy,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",zoo,"dogs,animals","amusement,parks,movies","spring,animals","playful,cute,cuddly,animal","pets,babies,family","fish,mermaid,sailor","corpse,undertaker,vampire","countries,continents,natural","trump,gop,news","strong,power,brave,courageous","scare,fearful,silent,afraid","love,human,small","magic,power,mystery","mythical,beast,majestic,fire","trump,gop,news","countries,continents,natural","gift,hands,food",old,"books,academics,scholastics","priest,nun,bishop","pastor,jesus,people,steeple","cross,bible,church,heart","corpse,undertaker,vampire","fish,mermaid,sailor","countries,continents,natural",water,fantasy,"internet,information","difficult,study,read,learning"
https://purvaten.github.io/doodles/D3/2/4.png,https://purvaten.github.io/doodles/D3/19/2.png,https://purvaten.github.io/doodles/D3/19/5.png,https://purvaten.github.io/doodles/D3/5/4.png,https://purvaten.github.io/doodles/D3/3/0.png,broke,technology,technology,cookware,"brown,round,edges",dog,jesus,sports,pele,racecar,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",technology,"internet,information",healthcare,"automobiles,cars",automobile,"police,lawyer,criminal","players,balls","pastor,jesus,people,steeple",decorations,"food,ingredients,dessert",technology,"internet,information",healthcare,"automobiles,cars",automobile,"police,lawyer,criminal","players,balls","pastor,jesus,people,steeple",decorations,"food,ingredients,dessert",cookware,"home,decor,furniture","food,ingredients,dessert","candles,recipes,balm","cake,cookies,pies,oven","weather,disaster","fish,waves,boats","racing,mechanics,repair",gambling,"banking,finance,support","brown,round,edges","cold,white,winter","plant,flower,petals,thorn,stem","glow,big,space,aliens","players,balls",healthcare,"internet,information","racing,mechanics,repair","home,decor,furniture",decorations
https://purvaten.github.io/doodles/D3/15/5.png,https://purvaten.github.io/doodles/D3/20/11.png,https://purvaten.github.io/doodles/D3/19/0.png,https://purvaten.github.io/doodles/D3/20/8.png,https://purvaten.github.io/doodles/D3/18/5.png,"secretary,boss",usa,technology,usa,supplements,ocean,ocean,church,grace,rose,"secretary,boss","police,lawyer,criminal","priest,nun,bishop","banking,finance,support","corpse,undertaker,vampire","spring,animals",win,"family,children,parents",news,zoo,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,technology,"internet,information",healthcare,"automobiles,cars",automobile,"police,lawyer,criminal","players,balls","pastor,jesus,people,steeple",decorations,"food,ingredients,dessert",usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,supplements,drinks,"food,ingredients,dessert","candles,recipes,balm",pets,fantasy,"royalty,structure,magical,historic","pastor,jesus,people,steeple","cross,bible,church,heart","gift,hands,food"
https://purvaten.github.io/doodles/D3/20/5.png,https://purvaten.github.io/doodles/D3/15/0.png,https://purvaten.github.io/doodles/D3/2/1.png,https://purvaten.github.io/doodles/D3/15/3.png,https://purvaten.github.io/doodles/D3/14/3.png,usa,"secretary,boss",broke,"secretary,boss","priest,nun,bishop",car,beluga,apple,microphone,soccer,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,"secretary,boss","police,lawyer,criminal","priest,nun,bishop","banking,finance,support","corpse,undertaker,vampire","spring,animals",win,"family,children,parents",news,zoo,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs","secretary,boss","police,lawyer,criminal","priest,nun,bishop","banking,finance,support","corpse,undertaker,vampire","spring,animals",win,"family,children,parents",news,zoo,"priest,nun,bishop","pastor,jesus,people,steeple","cross,bible,church,heart","corpse,undertaker,vampire","fish,mermaid,sailor","countries,continents,natural",water,fantasy,"internet,information","difficult,study,read,learning"
https://purvaten.github.io/doodles/D3/12/0.png,https://purvaten.github.io/doodles/D3/1/1.png,https://purvaten.github.io/doodles/D3/18/2.png,https://purvaten.github.io/doodles/D3/1/3.png,https://purvaten.github.io/doodles/D3/21/0.png,old,"banking,finance,support",supplements,"banking,finance,support","whale,water,large",border,fly,driving,pitbull,office,old,"family,children,parents","corpse,undertaker,vampire","fish,mermaid,sailor","police,lawyer,criminal","nike,sneaker,running",fantasy,"difficult,study,read,learning","pastor,jesus,people,steeple","festivals,broadway,emotions","banking,finance,support",healthcare,gambling,"trump,gop,news","internet,information",automobile,"cross,bible,church,heart","secretary,boss",win,"sports,competition",supplements,drinks,"food,ingredients,dessert","candles,recipes,balm",pets,fantasy,"royalty,structure,magical,historic","pastor,jesus,people,steeple","cross,bible,church,heart","gift,hands,food","banking,finance,support",healthcare,gambling,"trump,gop,news","internet,information",automobile,"cross,bible,church,heart","secretary,boss",win,"sports,competition","whale,water,large",water,"fish,mermaid,sailor","fish,waves,boats",ocean,"glow,big,space,aliens","brown,round,edges","internet,information","cake,cookies,pies,oven",gambling
https://purvaten.github.io/doodles/D3/19/3.png,https://purvaten.github.io/doodles/D3/12/3.png,https://purvaten.github.io/doodles/D3/2/10.png,https://purvaten.github.io/doodles/D3/0/0.png,https://purvaten.github.io/doodles/D3/20/1.png,technology,old,broke,automobile,usa,marriage,eat,mouse,football,apple,technology,"internet,information",healthcare,"automobiles,cars",automobile,"police,lawyer,criminal","players,balls","pastor,jesus,people,steeple",decorations,"food,ingredients,dessert",old,"family,children,parents","corpse,undertaker,vampire","fish,mermaid,sailor","police,lawyer,criminal","nike,sneaker,running",fantasy,"difficult,study,read,learning","pastor,jesus,people,steeple","festivals,broadway,emotions",broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",automobile,"automobiles,cars","vehicle,driving,passenger,road,signs","tire,car,key","racing,mechanics,repair","sky,rain,weather","priest,nun,bishop","wedding,love,rings","pets,babies,family","trump,gop,news",usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets
https://purvaten.github.io/doodles/D3/15/6.png,https://purvaten.github.io/doodles/D3/20/13.png,https://purvaten.github.io/doodles/D3/20/16.png,https://purvaten.github.io/doodles/D3/4/0.png,https://purvaten.github.io/doodles/D3/20/3.png,"secretary,boss",usa,usa,"cold,white,winter",usa,rockstar,people,tree,money,baseball,"secretary,boss","police,lawyer,criminal","priest,nun,bishop","banking,finance,support","corpse,undertaker,vampire","spring,animals",win,"family,children,parents",news,zoo,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,"cold,white,winter","sky,rain,weather","spring,animals","vacation,beach,sunny","weather,disaster",news,"nike,sneaker,running","difficult,study,read,learning","dogs,animals","pollution,dirt,wastage",usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets
https://purvaten.github.io/doodles/D3/9/0.png,https://purvaten.github.io/doodles/D3/1/4.png,https://purvaten.github.io/doodles/D3/6/0.png,https://purvaten.github.io/doodles/D3/20/12.png,https://purvaten.github.io/doodles/D3/2/9.png,library,"banking,finance,support",drinks,usa,broke,hero,puppy,car,panda,moon,library,"amusement,parks,movies","books,academics,scholastics",zoo,garden,"fish,waves,boats","secretary,boss","wedding,love,rings","banking,finance,support","festivals,broadway,emotions","banking,finance,support",healthcare,gambling,"trump,gop,news","internet,information",automobile,"cross,bible,church,heart","secretary,boss",win,"sports,competition",drinks,"food,ingredients,dessert",supplements,"cake,cookies,pies,oven","gift,hands,food","pets,babies,family","countries,continents,natural","amusement,parks,movies","bat,stadium,baseball,popcorn","banking,finance,support",usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs"
https://purvaten.github.io/doodles/D3/20/6.png,https://purvaten.github.io/doodles/D3/20/2.png,https://purvaten.github.io/doodles/D3/10/0.png,https://purvaten.github.io/doodles/D3/20/10.png,https://purvaten.github.io/doodles/D3/14/2.png,usa,usa,news,usa,"priest,nun,bishop",christmas,baby,baker,lottery,running,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,news,"trump,gop,news","internet,information","weather,disaster","sports,competition",win,"wedding,love,rings","mythical,beast,majestic,fire","spring,animals","tire,car,key",usa,"soccer,worldcup,fifa","trump,gop,news","nike,sneaker,running","countries,continents,natural","strong,power,brave,courageous","home,decor,furniture","bat,stadium,baseball,popcorn","family,children,parents",pets,"priest,nun,bishop","pastor,jesus,people,steeple","cross,bible,church,heart","corpse,undertaker,vampire","fish,mermaid,sailor","countries,continents,natural",water,fantasy,"internet,information","difficult,study,read,learning"
https://purvaten.github.io/doodles/D3/2/13.png,https://purvaten.github.io/doodles/D3/15/4.png,https://purvaten.github.io/doodles/D3/19/6.png,https://purvaten.github.io/doodles/D3/2/7.png,https://purvaten.github.io/doodles/D3/8/0.png,broke,"secretary,boss",technology,broke,decorations,vegetables,music,summer,harddrive,politics,broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs","secretary,boss","police,lawyer,criminal","priest,nun,bishop","banking,finance,support","corpse,undertaker,vampire","spring,animals",win,"family,children,parents",news,zoo,technology,"internet,information",healthcare,"automobiles,cars",automobile,"police,lawyer,criminal","players,balls","pastor,jesus,people,steeple",decorations,"food,ingredients,dessert",broke,old,"wedding,love,rings","scare,fearful,silent,afraid","racing,mechanics,repair","whale,water,large",garden,"mythical,beast,majestic,fire","gift,hands,food","vehicle,driving,passenger,road,signs",decorations,"home,decor,furniture",garden,"candles,recipes,balm","cake,cookies,pies,oven","difficult,study,read,learning","sports,competition","pollution,dirt,wastage","strong,power,brave,courageous","mythical,beast,majestic,fire"
